No.,Name,Status,No of imgs,Categories
1,Banh bao,Complete,110,Bánh
2,Banh beo,Complete,100,Bánh
3,Banh canh,Complete,115,Bún/Mỳ/Phở
4,Banh chung,Complete,110,Bánh
5,Banh crepe,Complete,130,Bánh
6,Banh cuon,Complete,110,Bánh
7,Banh da,Complete,110,Bún/Mỳ/Phở
8,Banh duc,Complete,100,Bánh
9,Banh gio,Complete,100,Bánh
10,Banh khot,Complete,100,Bánh
11,Banh khuc,Complete,100,Bánh
12,Banh mi,Complete,245,Bánh
13,Banh mousse,Complete,120,Bánh
14,Banh pia,Complete,100,Bánh
15,Banh ran,Complete,100,Bánh
16,Banh tao,Complete,120,Bánh
17,Banh tom,Complete,110,Bánh
18,Banh trang,Complete,105,Bánh
19,Banh troi,Complete,100,Bánh
20,Banh xeo,Complete,110,Bánh
21,Bibimbap,Complete,110,"Cơm, Ẩm thực quốc tế"
22,Bingsu,Complete,130,Tráng miệng
23,Bo kho,Complete,110,Món từ thịt
24,Bun bo Hue,Complete,105,Bún/Mỳ/Phở
25,Bun cha,Complete,125,Bún/Mỳ/Phở
26,Bun dau,Complete,105,Bún/Mỳ/Phở
27,Bun hai san,Complete,145,Bún/Mỳ/Phở
28,Bun thang,Complete,105,Bún/Mỳ/Phở
29,Ca,Complete,175,Hải sản
30,Canh ga,Complete,125,Món từ thịt
31,Chao,Complete,130,Cháo/Soup
32,Che,Complete,185,Tráng miệng
33,Com,Complete,110,Cơm
34,Com lam,Complete,100,Cơm
35,Com rang,Complete,100,Cơm
36,Com tam,Complete,100,Cơm
37,Creme brulee,Complete,110,Tráng miệng
38,Croffle,Complete,120,Bánh
39,Croissant,Complete,120,Bánh
40,Cuon,Complete,115,"Đồ ăn vặt, Cuốn"
41,Dimsum,Complete,150,Ẩm thực quốc tế
42,Doner kebap,Complete,110,Bánh
43,Donut,Complete,130,Bánh
44,Ga,Complete,110,"Đồ ăn nhanh, Món từ thịt"
45,Gan ngong,Complete,110,Ẩm thực quốc tế
46,Hamburger,Complete,130,Đồ ăn nhanh
47,Hotdog,Complete,110,Đồ ăn nhanh
48,Hu tieu,Complete,110,Bún/Mỳ/Phở
49,Khoai chien,Complete,135,Đồ ăn nhanh
50,Kimbap,Complete,115,"Cơm, Ẩm thực quốc tế"
51,Lau,Complete,140,Lẩu & Nướng
52,Macaron,Complete,105,Bánh
53,Mapo tofu,Complete,115,Ẩm thực quốc tế
54,Mi,Complete,195,Bún/Mỳ/Phở
55,Mochi,Complete,130,"Bánh, Ẩm thực quốc tế"
56,Nem,Complete,105,Cuốn
57,Nem chua,Complete,120,Đồ ăn vặt
58,Nem nuong,Complete,115,"Cuốn, Lẩu & Nướng"
59,Nom,Complete,125,Salad
60,Pad Thai,Complete,100,"Salad, Ẩm thực quốc tế"
61,Panna Cotta,Complete,110,Tráng miệng
62,Phat nhay tuong,Complete,110,"Ẩm thực quốc tế, Món từ thịt"
63,Pho,Complete,110,Bún/Mỳ/Phở
64,Pizza,Complete,130,"Đồ ăn nhanh, Ẩm thực quốc tế"
65,Ramen,Complete,145,"Bún/Mỳ/Phở, Ẩm thực quốc tế"
66,Salad,Complete,180,Salad
67,Sandwich,Complete,220,"Đồ ăn nhanh, Bánh"
68,Soup,Complete,120,Cháo/Soup
69,Spaghetti,Complete,175,"Đồ ăn nhanh, Ẩm thực quốc tế"
70,Steak,Complete,170,"Món từ thịt, Ẩm thực quốc tế"
71,Sushi,Complete,210,Ẩm thực quốc tế
72,Tacos,Complete,140,"Bánh, Ẩm thực quốc tế"
73,Takoyaki,Complete,140,"Ẩm thực quốc tế, Đồ ăn vặt"
74,Tea,Complete,135,Đồ uống
75,Thit kho,Complete,110,Món từ thịt
76,Thit nuong,Complete,250,"Lẩu & Nướng, Món từ thịt"
77,Tokbokki,Complete,130,"Ẩm thực quốc tế, Đồ ăn vặt"
78,Vit quay,Complete,150,Món từ thịt
79,Wontons,Complete,120,Ẩm thực quốc tế
80,Xoi,Complete,140,Cơm